,NUMERO_EKOGUI,ID_ENTIDAD,PROBA_FAVORABLE,CATEGORIA_PREDICCION
419196,588844,405,0.1223021583,DESFAVORABLE
335045,457162,405,0.1223021583,DESFAVORABLE
241207,276033,115,0.3647058824,DESFAVORABLE
7509,1017394,114,0.2547425474,DESFAVORABLE
159445,173365,114,0.2547425474,DESFAVORABLE
80801,1201478,356,0.4208037825,DESFAVORABLE
519086,762058,405,0.1223021583,DESFAVORABLE
208335,228234,1699,0.8177339901,FAVORABLE
21385,1049330,115,0.3647058824,DESFAVORABLE
565984,85708,124,0.277486911,DESFAVORABLE
70721,1171078,405,0.1223021583,DESFAVORABLE
162543,176389,114,0.2547425474,DESFAVORABLE
311505,41351,405,0.1223021583,DESFAVORABLE
549633,824582,405,0.1223021583,DESFAVORABLE
412860,577894,125,0.6521400778,FAVORABLE
591095,904687,405,0.1223021583,DESFAVORABLE
116863,1314460,405,0.1223021583,DESFAVORABLE
196067,208886,356,0.2981651376,DESFAVORABLE
480724,687991,405,0.1223021583,DESFAVORABLE
86447,1213739,405,0.1223021583,DESFAVORABLE
2603,1006527,405,0.3390342052,DESFAVORABLE
50678,1118995,405,0.1223021583,DESFAVORABLE
577265,88025,124,0.5,DESFAVORABLE
480569,687709,405,0.1223021583,DESFAVORABLE
80965,1201935,124,0.277486911,DESFAVORABLE
509864,742427,405,0.1223021583,DESFAVORABLE
399078,555711,356,0.4208037825,DESFAVORABLE
173709,192434,115,0.3647058824,DESFAVORABLE
83384,1207300,356,0.4208037825,DESFAVORABLE
330260,448631,433,0.357827476,DESFAVORABLE
458304,643417,405,0.1223021583,DESFAVORABLE
484986,69565,125,0.6521400778,FAVORABLE
61212,1146695,405,0.1223021583,DESFAVORABLE
243029,278555,246,0.6521400778,FAVORABLE
189746,2047920,356,0.2981651376,DESFAVORABLE
583543,891961,356,0.2981651376,DESFAVORABLE
429813,60446,220,0.224137931,DESFAVORABLE
485983,697779,188,0.6521400778,FAVORABLE
344712,474180,356,0.2981651376,DESFAVORABLE
74878,1183296,405,0.1223021583,DESFAVORABLE
482074,690274,405,0.1223021583,DESFAVORABLE
301142,394932,405,0.1223021583,DESFAVORABLE
541072,807803,405,0.1223021583,DESFAVORABLE
187677,203805,356,0.2981651376,DESFAVORABLE
558521,842497,405,0.1223021583,DESFAVORABLE
588380,89966,124,0.277486911,DESFAVORABLE
519982,764279,219,0.6521400778,FAVORABLE
258428,31534,251,0.8177339901,FAVORABLE
315376,420635,157,0.6521400778,FAVORABLE
574261,87447,124,0.277486911,DESFAVORABLE
66635,1160409,405,0.1223021583,DESFAVORABLE
459386,645380,114,0.29,DESFAVORABLE
575996,877823,356,0.2981651376,DESFAVORABLE
110111,1289145,405,0.3390342052,DESFAVORABLE
191216,2054522,356,0.2981651376,DESFAVORABLE
382436,534895,405,0.1223021583,DESFAVORABLE
82714,1205812,124,0,DESFAVORABLE
343149,471559,405,0.1223021583,DESFAVORABLE
13836,103155,426,0.8177339901,FAVORABLE
589053,900548,405,0.1223021583,DESFAVORABLE
51015,111982,401,0.8177339901,FAVORABLE
295978,383603,405,0.1223021583,DESFAVORABLE
22055,1050754,405,0.3390342052,DESFAVORABLE
187490,2037415,356,0.2981651376,DESFAVORABLE
459918,646393,405,0.1223021583,DESFAVORABLE
573628,87340,232,0.6086956522,FAVORABLE
398440,554590,405,0.1223021583,DESFAVORABLE
85386,1211306,405,0.3390342052,DESFAVORABLE
193512,206570,356,0.4208037825,DESFAVORABLE
194159,2069769,356,0.2981651376,DESFAVORABLE
500739,724689,405,0.1223021583,DESFAVORABLE
53175,112662,401,0.9402985075,FAVORABLE
27255,106271,426,0.6521400778,FAVORABLE
323561,435922,405,0.3390342052,DESFAVORABLE
488618,702528,405,0.1223021583,DESFAVORABLE
164752,178576,114,0.2547425474,DESFAVORABLE
502349,727450,125,0.6521400778,FAVORABLE
260785,31935,405,0.1223021583,DESFAVORABLE
482858,691500,206,0.6521400778,FAVORABLE
543640,812957,348,0.6521400778,FAVORABLE
263513,324267,174,0.6521400778,FAVORABLE
486227,698167,114,0.2547425474,DESFAVORABLE
192661,2061118,356,0.2981651376,DESFAVORABLE
406955,569928,115,0.3647058824,DESFAVORABLE
354072,489464,115,0.3647058824,DESFAVORABLE
47658,111101,401,0.9402985075,FAVORABLE
318640,42645,405,0.1223021583,DESFAVORABLE
193517,206573,356,0.4208037825,DESFAVORABLE
70453,1170533,405,0.1223021583,DESFAVORABLE
459773,646147,114,0.2547425474,DESFAVORABLE
76923,1191317,405,0.1223021583,DESFAVORABLE
352575,486996,405,0.1223021583,DESFAVORABLE
187796,203849,356,0.2981651376,DESFAVORABLE
37205,1085780,405,0.1223021583,DESFAVORABLE
577515,88071,124,0.277486911,DESFAVORABLE
543340,812318,405,0.3390342052,DESFAVORABLE
98104,1247750,405,0.4,DESFAVORABLE
45057,1104419,356,0.2981651376,DESFAVORABLE
198091,211511,356,0.2981651376,DESFAVORABLE
90602,1223687,356,0.2981651376,DESFAVORABLE
293607,37918,405,0.1223021583,DESFAVORABLE
395351,54850,405,0.1223021583,DESFAVORABLE
291271,374712,405,0.3390342052,DESFAVORABLE
196771,209835,356,0.2981651376,DESFAVORABLE
139354,145560,232,0.6521400778,FAVORABLE
302076,39677,405,0.1223021583,DESFAVORABLE
335054,45718,405,0.1223021583,DESFAVORABLE
394583,547240,405,0.3390342052,DESFAVORABLE
123979,1343118,356,0.2981651376,DESFAVORABLE
443700,62398,405,0.1223021583,DESFAVORABLE
375958,527164,405,0.1223021583,DESFAVORABLE
442222,622455,405,0.1223021583,DESFAVORABLE
30539,1071736,174,0.8177339901,FAVORABLE
363752,506088,405,0.1223021583,DESFAVORABLE
606141,922585,405,0.1223021583,DESFAVORABLE
138703,1444,405,0.3390342052,DESFAVORABLE
51023,1119831,356,0.4208037825,DESFAVORABLE
29125,1067814,405,0.3390342052,DESFAVORABLE
385498,538040,405,0.1223021583,DESFAVORABLE
43605,1100930,405,0.1223021583,DESFAVORABLE
523462,771176,408,0.6521400778,FAVORABLE
638756,990311,405,0.1223021583,DESFAVORABLE
216349,241464,405,0.1223021583,DESFAVORABLE
313065,416354,405,0.3390342052,DESFAVORABLE
197187,210334,356,0.2981651376,DESFAVORABLE
276139,345951,405,0.1223021583,DESFAVORABLE
140496,147924,232,0.6521400778,FAVORABLE
621681,947723,405,0.1223021583,DESFAVORABLE
421637,592318,405,0.1223021583,DESFAVORABLE
574827,875436,405,0.1223021583,DESFAVORABLE
542965,81161,407,0.6521400778,FAVORABLE
201685,218347,351,0.8177339901,FAVORABLE
372710,521517,356,0.2981651376,DESFAVORABLE
563212,851877,405,0.1223021583,DESFAVORABLE
203251,221279,351,0.8177339901,FAVORABLE
500559,7244,220,0.1666666667,DESFAVORABLE
514424,752244,405,0.3390342052,DESFAVORABLE
86546,121390,407,0.6521400778,FAVORABLE
625980,959948,356,0.4208037825,DESFAVORABLE
168850,185702,147,0.9622641509,FAVORABLE
401619,560262,356,0.4208037825,DESFAVORABLE
444296,624597,405,0.1223021583,DESFAVORABLE
623837,953712,405,0.1223021583,DESFAVORABLE
148012,161311,158,0.6521400778,FAVORABLE
453827,635242,114,0.2547425474,DESFAVORABLE
236308,268883,405,0.3390342052,DESFAVORABLE
14743,1033796,405,0.3390342052,DESFAVORABLE
481956,690036,115,0.3647058824,DESFAVORABLE
347149,477589,394,0.8177339901,FAVORABLE
262513,322546,114,0.2547425474,DESFAVORABLE
42555,109821,401,0.8177339901,FAVORABLE
311156,412993,157,0.6521400778,FAVORABLE
531181,787629,124,0.3942857143,DESFAVORABLE
83360,120725,63,0.8177339901,FAVORABLE
577742,881098,356,0.4208037825,DESFAVORABLE
416609,584064,405,0.1223021583,DESFAVORABLE
348923,480808,174,0.6521400778,FAVORABLE
374821,525225,405,0.3390342052,DESFAVORABLE
516080,755496,114,0.1785714286,DESFAVORABLE
355873,492410,405,0.1223021583,DESFAVORABLE
514618,752632,174,0.6521400778,FAVORABLE
238362,272302,209,0.8177339901,FAVORABLE
44466,1103009,356,0.2981651376,DESFAVORABLE
264512,325946,170,0.8177339901,FAVORABLE
343420,472017,356,0.4208037825,DESFAVORABLE
411939,576826,125,0.6521400778,FAVORABLE
44328,110266,401,0.9402985075,FAVORABLE
38730,108925,220,0.6,FAVORABLE
519947,76422,125,0.6521400778,FAVORABLE
30120,107051,426,0.6521400778,FAVORABLE
398283,554286,405,0.3390342052,DESFAVORABLE
